"Season_KEEPER","Squad_KEEPER","Comp_KEEPER","Player_KEEPER","Nation_KEEPER","Pos_KEEPER","Age_KEEPER","MP_Playing_Time_KEEPER","Starts_Playing_Time_KEEPER","Min_Playing_Time_KEEPER","Mins_Per_90_Playing_Time_KEEPER","GA_KEEPER","GA90_KEEPER","SoTA_KEEPER","Saves_KEEPER","Save_percent_KEEPER","W_KEEPER","D_KEEPER","L_KEEPER","CS_KEEPER","CS_percent_KEEPER","PKatt_Kicks_KEEPER","PKA_Kicks_KEEPER","PKsv_Kicks_KEEPER","PKm_Kicks_KEEPER","Save_percent_Kicks_KEEPER","UrlFBref","Mins_Per_90_KEEPER_ADV","GA_Goals_KEEPER_ADV","PKA_Goals_KEEPER_ADV","FK_Goals_KEEPER_ADV","CK_Goals_KEEPER_ADV","OG_Goals_KEEPER_ADV","PSxG_Expected_KEEPER_ADV","PSxG_per_SoT_Expected_KEEPER_ADV","PSxGPlus_Minus_Expected_KEEPER_ADV","_per_90_Expected_KEEPER_ADV","Cmp_Launched_KEEPER_ADV","Att_Launched_KEEPER_ADV","Cmp_percent_Launched_KEEPER_ADV","Att (GK)_Passes_KEEPER_ADV","Thr_Passes_KEEPER_ADV","Launch_percent_Passes_KEEPER_ADV","AvgLen_Passes_KEEPER_ADV","Att_Goal_Kicks_KEEPER_ADV","Launch_percent_Goal_Kicks_KEEPER_ADV","AvgLen_Goal_Kicks_KEEPER_ADV","Opp_Crosses_KEEPER_ADV","Stp_Crosses_KEEPER_ADV","Stp_percent_Crosses_KEEPER_ADV","Player_NumOPA_Sweeper_KEEPER_ADV","Player_NumOPA_per_90_Sweeper_KEEPER_ADV","AvgDist_Sweeper_KEEPER_ADV","WeeklyWageEUR_WAGES","UrlTmarkt","comp_name_TM","player_position_TM","player_nationality_TM","player_height_mtrs_TM","player_foot_TM","contract_expiry_TM","player_market_value_euro_TM"
"2023-2024","Lazio","Serie A","Ivan Provedel","ITA","GK","29-343",25,25,2250,25,26,1.04,93,67,74.2,12,4,9,9,36,2,2,0,0,0,"https://fbref.com/en/players/277da414/Ivan-Provedel",25,26,2,0,1,0,23.4,0.23,-2.6,-0.1,77,200,38.5,719,95,21.1,30.5,140,34.3,36.5,304,13,4.3,14,0.56,13.1,35577,"https://www.transfermarkt.com/ivan-provedel/profil/spieler/197929","Serie A","Goalkeeper","Italy","1.94","right","2027-06-30",1.4e+07
"2023-2024","Fiorentina","Serie A","Pietro Terracciano","ITA","GK","33-352",23,23,2070,23,23,1,91,67,80.2,11,4,8,6,26.1,6,5,1,0,16.7,"https://fbref.com/en/players/e1b0a70d/Pietro-Terracciano",23,23,5,2,2,0,28,0.25,5,0.22,116,267,43.4,726,84,29.3,32.4,114,47.4,38.7,212,6,2.8,18,0.78,14.4,28462,"https://www.transfermarkt.com/pietro-terracciano/profil/spieler/96254","Serie A","Goalkeeper","Italy","1.93","right","2025-06-30",2500000
"2023-2024","Napoli","Serie A","Alex Meret","ITA","GK","26-339",17,17,1513,16.8,20,1.19,57,36,66.7,7,5,5,4,23.5,2,1,1,0,50,"https://fbref.com/en/players/9413b19f/Alex-Meret",16.8,20,1,0,2,0,19.9,0.32,-0.1,0,31,96,32.3,400,61,18.8,28.1,81,25.9,30.5,191,3,1.6,20,1.19,16.8,53462,"https://www.transfermarkt.com/alex-meret/profil/spieler/240414","Serie A","Goalkeeper","Italy","1.9","left","2024-06-30",1.5e+07
"2023-2024","Monza","Serie A","Michele Di Gregorio","ITA","GK","26-211",22,22,1882,20.9,17,0.81,100,82,84,8,8,6,9,40.9,2,1,1,0,50,"https://fbref.com/en/players/4e0c8d66/Michele-Di-Gregorio",20.9,17,1,0,4,0,24.8,0.23,7.8,0.37,94,247,38.1,694,137,25.8,29.8,149,45.6,40.9,299,15,5,14,0.67,11.8,25000,"https://www.transfermarkt.com/michele-di-gregorio/profil/spieler/301238","Serie A","Goalkeeper","Italy","1.87","right","2027-06-30",1.2e+07
"2023-2024","Genoa","Serie A","Josep Martinez","ESP","GK","25-272",24,24,2159,24,29,1.21,89,60,68.5,7,9,8,5,20.8,2,1,1,0,50,"https://fbref.com/en/players/11d8aff0/Josep-Martinez",24,29,1,1,2,1,27.2,0.3,-0.8,-0.03,150,386,38.9,832,74,36.8,35.9,113,70.8,51,382,31,8.1,24,1,12.1,12308,"https://www.transfermarkt.com/josep-martinez/profil/spieler/388516","Serie A","Goalkeeper","Spain","1.91","right",NA,4e+06
"2023-2024","Lecce","Serie A","Wladimiro Falcone","ITA","GK","28-317",25,25,2250,25,39,1.56,115,76,69.6,5,9,11,2,8,5,4,1,0,20,"https://fbref.com/en/players/9f5a610b/Wladimiro-Falcone",25,39,4,1,3,1,36.4,0.28,-1.6,-0.06,90,282,31.9,557,116,38.6,33,169,39.6,32.9,332,12,3.6,14,0.56,12.1,21346,"https://www.transfermarkt.com/wladimiro-falcone/profil/spieler/238537","Serie A","Goalkeeper","Italy","1.95","right","2028-06-30",5e+06
"2023-2024","Udinese","Serie A","Marco Silvestri","ITA","GK","32-358",17,17,1530,17,28,1.65,68,40,67.6,1,11,5,4,23.5,6,6,0,0,0,"https://fbref.com/en/players/0d422df7/Marco-Silvestri",17,28,6,0,2,0,25.7,0.29,-2.3,-0.14,57,168,33.9,345,68,33.6,32.3,105,49.5,42.1,282,5,1.8,7,0.41,13.1,35577,"https://www.transfermarkt.com/marco-silvestri/profil/spieler/85528","Serie A","Goalkeeper","Italy","1.91","right","2025-06-30",3500000
"2023-2024","Udinese","Serie A","Maduka Okoye","NGA","GK","24-179",8,8,720,8,10,1.25,37,27,75.7,2,3,3,3,37.5,1,1,0,0,0,"https://fbref.com/en/players/ab5c36dd/Maduka-Okoye",8,10,1,1,1,0,10.6,0.26,0.6,0.07,36,93,38.7,112,17,57.1,40.3,44,65.9,44.7,122,5,4.1,1,0.13,7.7,12308,"https://www.transfermarkt.com/maduka-okoye/profil/spieler/340353","Serie A","Goalkeeper","Nigeria","1.97","right","2027-06-30",2e+06
"2023-2024","Frosinone","Serie A","Stefano Turati","ITA","GK","22-171",24,24,2160,24,51,2.12,121,70,61.2,5,5,14,2,8.3,6,4,1,1,20,"https://fbref.com/en/players/bf168004/Stefano-Turati",24,51,4,0,8,1,38.4,0.29,-11.6,-0.48,56,223,25.1,762,117,24,27.7,113,35.4,33.6,339,16,4.7,18,0.75,13.9,16346,"https://www.transfermarkt.com/stefano-turati/profil/spieler/543666","Serie A","Goalkeeper","Italy","1.88","right","2024-06-30",7e+06
"2023-2024","Empoli","Serie A","Etrit Berisha","ALB","GK","34-350",14,14,1260,14,25,1.79,74,49,68.9,3,3,8,4,28.6,3,2,1,0,33.3,"https://fbref.com/en/players/ee833569/Etrit-Berisha",14,25,2,0,5,1,20.7,0.24,-3.3,-0.24,44,184,23.9,400,75,34.8,33,90,50,40.8,236,11,4.7,10,0.71,12.4,26731,"https://www.transfermarkt.com/etrit-berisha/profil/spieler/77825","Serie A","Goalkeeper","Albania","1.94","left","2024-06-30",5e+05
"2023-2024","Empoli","Serie A","Elia Caprile","ITA","GK","22-182",10,10,900,10,11,1.1,43,31,76.7,2,4,4,3,30,2,1,1,0,50,"https://fbref.com/en/players/97d7afbd/Elia-Caprile",10,11,1,0,3,0,12.3,0.24,1.3,0.13,48,134,35.8,276,52,39.1,36.1,52,50,44.6,171,9,5.3,12,1.2,16.2,12308,"https://www.transfermarkt.com/elia-caprile/profil/spieler/421873","Serie A","Goalkeeper","Italy","1.91","right","2024-06-30",5500000
"2023-2024","Hellas Verona","Serie A","Lorenzo Montipò","ITA","GK","28-003",25,25,2250,25,34,1.36,110,77,70.9,4,8,13,5,20,2,2,0,0,0,"https://fbref.com/en/players/c1d95617/Lorenzo-Montipo",25,34,2,0,3,1,29.2,0.25,-3.8,-0.15,228,510,44.7,672,76,52.5,40.4,211,74.4,53.9,314,10,3.2,31,1.24,16,9615,"https://www.transfermarkt.com/lorenzo-montipo/profil/spieler/241923","Serie A","Goalkeeper","Italy","1.91","right","2025-06-30",4e+06
"2023-2024","Sassuolo","Serie A","Andrea Consigli","ITA","GK","37-027",22,22,1980,22,39,1.77,101,63,65.3,4,5,13,1,4.5,6,4,1,1,20,"https://fbref.com/en/players/8cabdc1e/Andrea-Consigli",22,39,4,1,3,2,30.1,0.25,-6.9,-0.31,103,302,34.1,645,96,37.8,36.1,157,36.9,34.3,357,16,4.5,16,0.73,12.6,35577,"https://www.transfermarkt.com/andrea-consigli/profil/spieler/35865","Serie A","Goalkeeper","Italy","1.89","right","2024-06-30",1e+06
"2023-2024","Cagliari","Serie A","Simone Scuffet","ITA","GK","27-268",18,18,1620,18,34,1.89,75,42,57.3,4,5,9,1,5.6,2,2,0,0,0,"https://fbref.com/en/players/41bd99ea/Simone-Scuffet",18,34,2,1,7,1,27.4,0.34,-5.6,-0.31,99,248,39.9,422,75,37.2,34.8,150,60.7,45.3,262,12,4.6,12,0.67,11.6,7308,"https://www.transfermarkt.com/simone-scuffet/profil/spieler/238993","Serie A","Goalkeeper","Italy","1.93","right","2026-06-30",2e+06
"2023-2024","Salernitana","Serie A","Guillermo Ochoa","MEX","GK","38-226",17,17,1530,17,35,2.06,89,55,68.5,0,5,12,1,5.9,7,7,0,0,0,"https://fbref.com/en/players/1e9bde92/Guillermo-Ochoa",17,35,7,0,3,1,27.8,0.24,-6.2,-0.36,67,263,25.5,400,55,45.3,37.3,139,59,44.8,277,9,3.2,8,0.47,12.9,28462,"https://www.transfermarkt.com/guillermo-ochoa/profil/spieler/29559","Serie A","Goalkeeper","Mexico","1.85","right","2025-06-30",1500000
"2023-2024","Salernitana","Serie A","Benoît Costil","FRA","GK","36-236",8,8,720,8,16,2,44,28,68.2,2,2,4,1,12.5,2,2,0,0,0,"https://fbref.com/en/players/2434f24a/Benoit-Costil",8,16,2,0,1,0,13.8,0.27,-2.2,-0.28,40,148,27,197,30,49.2,37.9,65,78.5,55.3,141,0,0,5,0.63,13.4,15962,"https://www.transfermarkt.com/benoit-costil/profil/spieler/22628","Serie A","Goalkeeper","France","1.88","right","2024-06-30",8e+05
"2023-2024","Bayer Leverkusen","Bundesliga","Lukáš Hrádecký","FIN","GK","34-091",21,21,1890,21,15,0.71,76,61,80.3,18,3,0,10,47.6,0,0,0,0,NA,"https://fbref.com/en/players/ad3389d5/Lukas-Hradecky",21,15,0,0,3,0,20.2,0.27,5.2,0.25,49,143,34.3,510,116,21.8,28.4,89,36,35.6,213,19,8.9,30,1.43,17.4,50000,"https://www.transfermarkt.com/lukas-hradecky/profil/spieler/48015","Bundesliga","Goalkeeper","Finland","1.92","right","2026-06-30",2500000
"2023-2024","Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","37-333",14,14,1260,14,18,1.29,49,30,67.3,10,0,4,6,42.9,3,2,1,0,33.3,"https://fbref.com/en/players/8778c910/Manuel-Neuer",14,18,2,0,1,0,15.3,0.25,-2.7,-0.19,44,101,43.6,485,72,18.8,28.1,63,15.9,26.8,133,7,5.3,11,0.79,15.6,403846,"https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","Bundesliga","Goalkeeper","Germany","1.93","right","2025-06-30",5e+06
"2023-2024","Bayern Munich","Bundesliga","Sven Ulreich","GER","GK","35-204",8,8,720,8,7,0.87,17,10,64.7,6,2,0,3,37.5,1,1,0,0,0,"https://fbref.com/en/players/7d3e7da6/Sven-Ulreich",8,7,1,1,2,0,6.6,0.33,-0.4,-0.05,20,64,31.3,261,35,21.8,26.3,34,20.6,27.1,70,2,2.9,14,1.75,23,38462,"https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680","Bundesliga","Goalkeeper","Germany","1.92","right","2025-06-30",7e+05
"2023-2024","Stuttgart","Bundesliga","Alexander Nübel","GER","GK","27-146",20,20,1800,20,26,1.3,73,49,65.8,13,1,6,6,30,1,1,0,0,0,"https://fbref.com/en/players/afb0c500/Alexander-Nubel",20,26,1,0,5,2,20.3,0.28,-3.7,-0.18,93,205,45.4,706,94,24.9,29.1,86,33.7,32.1,225,24,10.7,43,2.15,18.4,67308,"https://www.transfermarkt.com/alexander-nubel/profil/spieler/195778","Bundesliga","Goalkeeper","Germany","1.93","right","2024-06-30",1e+07
"2023-2024","Dortmund","Bundesliga","Gregor Kobel","SUI","GK","26-080",20,20,1735,19.3,25,1.3,94,69,78.7,10,7,3,6,30,6,5,1,0,16.7,"https://fbref.com/en/players/cd59b9df/Gregor-Kobel",19.3,25,5,0,5,1,28.9,0.26,4.9,0.26,93,206,45.1,730,81,21,28.4,124,42.7,38.7,271,5,1.8,13,0.67,12.5,173077,"https://www.transfermarkt.com/gregor-kobel/profil/spieler/257814","Bundesliga","Goalkeeper","Switzerland","1.96","right","2028-06-30",4e+07
"2023-2024","RB Leipzig","Bundesliga","Janis Blaswich","GER","GK","32-297",19,19,1710,19,26,1.37,66,40,65.2,10,3,6,5,26.3,3,3,0,0,0,"https://fbref.com/en/players/663e080e/Janis-Blaswich",19,26,3,0,7,0,21.3,0.28,-4.7,-0.25,53,149,35.6,759,79,15.3,26,123,26.8,31.3,214,14,6.5,34,1.79,17.6,28846,"https://www.transfermarkt.com/janis-blaswich/profil/spieler/81173","Bundesliga","Goalkeeper","Germany","1.93","right","2026-06-30",4e+06
"2023-2024","Eintracht Frankfurt","Bundesliga","Kevin Trapp","GER","GK","33-230",20,20,1800,20,26,1.3,81,53,72.8,7,8,5,6,30,6,4,2,0,33.3,"https://fbref.com/en/players/ce17b5eb/Kevin-Trapp",20,26,4,0,2,0,27.3,0.27,1.3,0.07,65,223,29.1,630,93,27.9,29.3,135,34.8,32.7,316,8,2.5,17,0.85,14.4,67308,"https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672","Bundesliga","Goalkeeper","Germany","1.89","right","2026-06-30",7e+06
"2023-2024","Werder Bremen","Bundesliga","Michael Zetterer","GER","GK","28-227",15,15,1350,15,17,1.13,62,46,75.8,6,5,4,5,33.3,2,2,0,0,0,"https://fbref.com/en/players/9b688ae1/Michael-Zetterer",15,17,2,0,2,1,20,0.32,4,0.27,84,178,47.2,540,106,28.5,32.8,72,33.3,36.9,224,22,9.8,15,1,14.3,3462,"https://www.transfermarkt.com/michael-zetterer/profil/spieler/196813","Bundesliga","Goalkeeper","Germany","1.87","both","2025-06-30",1e+06
"2023-2024","Werder Bremen","Bundesliga","Jiří Pavlenka","CZE","GK","31-316",7,7,630,7,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0,"https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka",7,17,2,0,1,0,13.1,0.3,-3.9,-0.56,31,85,36.5,177,37,37.9,34.2,69,26.1,32.5,109,7,6.4,9,1.29,14.4,48077,"https://www.transfermarkt.com/jiri-pavlenka/profil/spieler/260053","Bundesliga","Goalkeeper","Czech Republic","1.96","right","2024-06-30",2e+06
"2023-2024","Freiburg","Bundesliga","Noah Atubolu","GER","GK","21-275",22,22,1980,22,40,1.82,94,55,60.6,8,5,9,7,31.8,3,3,0,0,0,"https://fbref.com/en/players/dbd1b101/Noah-Atubolu",22,40,3,0,3,1,32.4,0.32,-6.6,-0.3,119,358,33.2,755,106,33.5,33.1,146,71.9,54.5,263,13,4.9,24,1.09,15.3,2308,"https://www.transfermarkt.com/noah-atubolu/profil/spieler/526845","Bundesliga","Goalkeeper","Germany","1.9","right",NA,6500000
"2023-2024","Hoffenheim","Bundesliga","Oliver Baumann","GER","GK","33-266",22,22,1980,22,41,1.86,127,84,69.3,7,6,9,1,4.5,5,2,3,0,60,"https://fbref.com/en/players/47064058/Oliver-Baumann",22,41,2,2,4,1,45.2,0.32,5.2,0.24,119,311,38.3,725,111,30.6,31.8,165,53.9,44.2,354,23,6.5,46,2.09,16.8,67308,"https://www.transfermarkt.com/oliver-baumann/profil/spieler/55089","Bundesliga","Goalkeeper","Germany","1.87","right","2026-06-30",4e+06
"2023-2024","Bochum","Bundesliga","Manuel Riemann","GER","GK","35-168",22,22,1980,22,41,1.86,121,80,71.1,5,10,7,4,18.2,8,6,2,0,25,"https://fbref.com/en/players/9f941969/Manuel-Riemann",22,41,6,0,4,2,38.3,0.26,-0.7,-0.03,266,691,38.5,981,54,61.8,42.7,144,59,45.1,340,27,7.9,71,3.23,20,16154,"https://www.transfermarkt.com/manuel-riemann/profil/spieler/40792","Bundesliga","Goalkeeper","Germany","1.86","right","2025-06-30",8e+05
"2023-2024","Wolfsburg","Bundesliga","Koen Casteels","BEL","GK","31-243",18,18,1620,18,26,1.44,86,61,70.9,6,5,7,3,16.7,1,1,0,0,0,"https://fbref.com/en/players/db401046/Koen-Casteels",18,26,1,0,2,1,25.8,0.29,0.8,0.05,109,262,41.6,554,86,34.7,34.4,115,60.9,46.7,263,16,6.1,32,1.78,17.2,76923,"https://www.transfermarkt.com/koen-casteels/profil/spieler/108880","Bundesliga","Goalkeeper","Belgium","1.97","left","2024-06-30",8e+06
"2023-2024","Augsburg","Bundesliga","Finn Dahmen","GER","GK","25-333",22,22,1980,22,40,1.82,123,83,71.5,5,8,9,0,0,8,5,2,1,28.6,"https://fbref.com/en/players/dee3013b/Finn-Dahmen",22,40,5,0,9,2,38.7,0.26,0.7,0.03,116,324,35.8,858,68,31,32.5,122,47.5,42.4,334,22,6.6,34,1.55,13.8,16154,"https://www.transfermarkt.com/finn-dahmen/profil/spieler/251299","Bundesliga","Goalkeeper","Germany","1.86","right","2026-06-30",5e+06
"2023-2024","Mönchengladbach","Bundesliga","Moritz Nicolas","GER","GK","26-125",20,20,1800,20,36,1.8,123,87,74,5,6,9,3,15,4,4,0,0,0,"https://fbref.com/en/players/226ddf9d/Moritz-Nicolas",20,36,4,0,4,0,36.2,0.27,0.2,0.01,79,223,35.4,645,101,26.2,29.7,112,48.2,41.8,326,18,5.5,14,0.7,12.5,2308,"https://www.transfermarkt.com/moritz-nicolas/profil/spieler/284270","Bundesliga","Goalkeeper","Germany","1.93","right","2026-06-30",1500000
"2023-2024","Köln","Bundesliga","Marvin Schwäbe","GER","GK","28-304",22,22,1980,22,36,1.64,109,73,68.8,3,7,12,3,13.6,2,2,0,0,0,"https://fbref.com/en/players/87436846/Marvin-Schwabe",22,36,2,0,5,0,42.2,0.38,6.2,0.28,85,224,37.9,788,70,25.6,30.1,92,23.9,30.4,282,8,2.8,15,0.68,13.2,23077,"https://www.transfermarkt.com/marvin-schwabe/profil/spieler/160929","Bundesliga","Goalkeeper","Germany","1.9","right","2027-06-30",7e+06
"2023-2024","Mainz 05","Bundesliga","Robin Zentner","GER","GK","29-118",18,18,1620,18,32,1.78,73,42,58.9,2,7,9,3,16.7,2,2,0,0,0,"https://fbref.com/en/players/5c4bf6ba/Robin-Zentner",18,32,2,1,1,1,30.1,0.39,-0.9,-0.05,102,270,37.8,519,97,42.8,36.4,98,49,40.4,219,25,11.4,26,1.44,16.7,28846,"https://www.transfermarkt.com/robin-zentner/profil/spieler/160963","Bundesliga","Goalkeeper","Germany","1.95","right","2025-06-30",5e+06
"2023-2024","Paris Saint-Germain","Ligue 1","Gianluigi Donnarumma","ITA","GK","24-364",19,19,1629,18.1,15,0.83,76,60,82.9,14,4,1,8,42.1,3,2,1,0,33.3,"https://fbref.com/en/players/08f5afaa/Gianluigi-Donnarumma",18.1,15,2,0,2,0,22.7,0.27,7.7,0.43,28,64,43.8,492,86,10.8,23.6,99,11.1,20.8,221,12,5.4,16,0.88,13.1,244808,"https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","Ligue 1","Goalkeeper","Italy","1.96","right","2026-06-30",4e+07
"2023-2024","Brest","Ligue 1","Marco Bizot","NED","GK","32-350",21,21,1886,21,18,0.86,84,65,79.8,10,7,4,9,42.9,2,1,1,0,50,"https://fbref.com/en/players/3d214e5f/Marco-Bizot",21,18,1,0,2,0,23.2,0.26,5.2,0.25,163,342,47.7,600,82,41.5,36,123,75.6,51,245,15,6.1,30,1.43,16.4,17500,"https://www.transfermarkt.com/marco-bizot/profil/spieler/124884","Ligue 1","Goalkeeper","Netherlands","1.93","right","2026-06-30",3500000
"2023-2024","Nice","Ligue 1","Marcin Bułka","POL","GK","24-143",22,22,1980,22,15,0.68,58,41,77.6,11,6,5,13,59.1,4,2,2,0,50,"https://fbref.com/en/players/db87a2c4/Marcin-Bulka",22,15,2,0,0,0,17.1,0.23,2.1,0.09,49,108,45.4,690,104,12.6,23.1,88,23.9,25.1,227,17,7.5,12,0.55,11.9,6923,"https://www.transfermarkt.com/marcin-bulka/profil/spieler/465955","Ligue 1","Goalkeeper","Poland","1.99","right","2026-06-30",1.5e+07
"2023-2024","Lille","Ligue 1","Lucas Chevalier","FRA","GK","22-110",22,22,1980,22,17,0.77,79,62,79.7,10,8,4,13,59.1,3,1,2,0,66.7,"https://fbref.com/en/players/b3d76d84/Lucas-Chevalier",22,17,1,0,1,2,22.1,0.25,7.1,0.32,46,194,23.7,706,77,23.2,28.6,70,42.9,39.8,234,11,4.7,19,0.86,13.8,21923,"https://www.transfermarkt.com/lucas-chevalier/profil/spieler/463600","Ligue 1","Goalkeeper","France","1.89","right","2027-06-30",1.8e+07
"2023-2024","Lens","Ligue 1","Brice Samba","FRA","GK","29-304",22,22,1980,22,21,0.95,86,65,80.2,10,6,6,10,45.5,5,4,0,1,0,"https://fbref.com/en/players/60d90c55/Brice-Samba",22,21,4,0,6,0,27.8,0.28,6.8,0.31,113,255,44.3,619,95,34.6,32.7,114,36,31.7,266,24,9,16,0.73,13.1,31538,"https://www.transfermarkt.com/brice-samba/profil/spieler/191056","Ligue 1","Goalkeeper","France","1.87","left","2028-06-30",1.5e+07
"2023-2024","Rennes","Ligue 1","Steve Mandanda","FRA","GK","38-333",22,22,1980,22,26,1.18,94,70,73.4,9,7,6,5,22.7,1,1,0,0,0,"https://fbref.com/en/players/1d2d5cc8/Steve-Mandanda",22,26,1,0,4,2,21.5,0.22,-2.5,-0.11,84,296,28.4,694,96,31.1,32.2,131,61.1,44,306,20,6.5,25,1.14,15.9,43846,"https://www.transfermarkt.com/steve-mandanda/profil/spieler/23951","Ligue 1","Goalkeeper","France","1.87","right","2025-06-30",1e+06
"2023-2024","Reims","Ligue 1","Yehvann Diouf","FRA","GK","24-100",22,22,1980,22,30,1.36,85,54,67.1,9,4,9,6,27.3,3,2,1,0,33.3,"https://fbref.com/en/players/eedea60b/Yehvann-Diouf",22,30,2,0,3,0,26.5,0.28,-3.5,-0.16,83,217,38.2,739,120,23.4,29.7,103,42.7,37.7,311,26,8.4,26,1.18,13.7,11538,"https://www.transfermarkt.com/yehvann-diouf/profil/spieler/448632","Ligue 1","Goalkeeper","France","1.9","right","2027-06-30",1e+07
"2023-2024","Marseille","Ligue 1","Pau López","ESP","GK","29-073",21,21,1859,20.7,22,1.07,79,57,72.2,7,9,5,6,28.6,0,0,0,0,NA,"https://fbref.com/en/players/20b9f052/Pau-Lopez",20.7,22,0,1,5,0,19.2,0.25,-2.8,-0.13,53,176,30.1,627,70,23.3,28.6,93,32.3,32.2,258,7,2.7,16,0.78,14.4,74038,"https://www.transfermarkt.com/pau-lopez/profil/spieler/286415","Ligue 1","Goalkeeper","Spain","1.89","left","2026-06-30",1.2e+07
"2023-2024","Lyon","Ligue 1","Anthony Lopes","POR","GK","33-145",19,19,1710,19,28,1.47,95,66,72.6,7,3,9,7,36.8,3,2,1,0,33.3,"https://fbref.com/en/players/f00de885/Anthony-Lopes",19,28,2,0,2,0,25.9,0.25,-2.1,-0.11,85,240,35.4,497,94,37.8,33.6,125,41.6,34.7,251,18,7.2,20,1.05,14.5,92308,"https://www.transfermarkt.com/anthony-lopes/profil/spieler/60561","Ligue 1","Goalkeeper","Portugal","1.84","left","2025-06-30",5e+06
"2023-2024","Le Havre","Ligue 1","Arthur Desmas","FRA","GK","29-323",22,22,1980,22,28,1.27,107,80,73.8,5,9,8,6,27.3,2,0,1,1,100,"https://fbref.com/en/players/e8c5dd4d/Arthur-Desmas",22,28,0,0,3,2,32.8,0.31,6.8,0.31,92,271,33.9,461,97,43.4,36.3,148,48,37.4,319,18,5.6,13,0.59,12.1,5769,"https://www.transfermarkt.com/arthur-desmas/profil/spieler/379869","Ligue 1","Goalkeeper","France","1.96","right","2025-06-30",2e+06
"2023-2024","Montpellier","Ligue 1","Benjamin Lecomte","FRA","GK","32-304",22,22,1980,22,27,1.23,104,78,75,5,8,9,8,36.4,2,1,1,0,50,"https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte",22,27,1,2,2,2,25.9,0.23,0.9,0.04,120,339,35.4,567,96,47.4,37.2,164,42.7,36.6,327,18,5.5,3,0.14,8.4,35000,"https://www.transfermarkt.com/benjamin-lecomte/profil/spieler/127181","Ligue 1","Goalkeeper","France","1.86","left","2027-06-30",4e+06
"2023-2024","Lorient","Ligue 1","Yvon Mvogo","SUI","GK","29-262",22,22,1980,22,43,1.95,139,96,73.4,5,7,10,3,13.6,6,6,0,0,0,"https://fbref.com/en/players/dc29b608/Yvon-Mvogo",22,43,6,1,6,0,40.5,0.26,-2.5,-0.11,90,247,36.4,611,111,30.1,32.2,131,48.1,38.2,404,18,4.5,8,0.36,8.3,13846,"https://www.transfermarkt.com/yvon-mvogo/profil/spieler/147051","Ligue 1","Goalkeeper","Switzerland","1.9","right","2025-06-30",3500000
"2023-2024","Nantes","Ligue 1","Alban Lafont","FRA","GK","25-031",16,16,1416,15.7,22,1.4,72,50,75,4,2,10,4,25,4,4,0,0,0,"https://fbref.com/en/players/4e7db402/Alban-Lafont",15.7,22,4,0,1,0,22.8,0.28,0.8,0.05,65,215,30.2,493,72,31,32.4,100,62,46.2,211,18,8.5,20,1.27,13.8,28846,"https://www.transfermarkt.com/alban-lafont/profil/spieler/357117","Ligue 1","Goalkeeper","France","1.96","right","2027-06-30",1.2e+07
"2023-2024","Metz","Ligue 1","Alexandre Oukidja","ALG","GK","35-219",22,22,1907,21.2,34,1.6,119,85,74.8,4,5,13,3,13.6,4,4,0,0,0,"https://fbref.com/en/players/ae7d0ecd/Alexandre-Oukidja",21.2,34,4,1,3,0,29.7,0.23,-4.3,-0.2,146,409,35.7,444,79,56.3,42,173,91.9,60.3,339,24,7.1,12,0.57,9.9,9615,"https://www.transfermarkt.com/alexandre-oukidja/profil/spieler/56809","Ligue 1","Goalkeeper","Algeria","1.84","right","2025-06-30",5e+05
"2023-2024","Clermont Foot","Ligue 1","Mory Diaw","SEN","GK","30-246",20,20,1800,20,34,1.7,133,99,76.7,2,6,12,4,20,5,3,1,1,25,"https://fbref.com/en/players/f41a69e6/Mory-Diaw",20,34,3,0,4,1,35.8,0.25,2.8,0.14,143,382,37.4,734,84,42.6,36.7,121,57,43.8,277,28,10.1,34,1.7,15.2,11923,"https://www.transfermarkt.com/mory-diaw/profil/spieler/164904","Ligue 1","Goalkeeper","Senegal","1.97","right","2026-06-30",2e+06
"2023-2024","PSV Eindhoven","Eredivisie","Walter Benítez","ARG","GK","31-035",22,22,1980,22,10,0.45,44,35,81.8,20,2,0,13,59.1,2,2,0,0,0,"https://fbref.com/en/players/8a2248b4/Walter-Benitez",22,10,2,0,0,1,14.6,0.29,5.6,0.25,69,153,45.1,540,66,23.3,28.3,101,26.7,32.1,208,15,7.2,32,1.45,16.1,NA,"https://www.transfermarkt.com/walter-benitez/profil/spieler/296802","Eredivisie","Goalkeeper","Argentina","1.91","right","2025-06-30",1.2e+07
